记录时间：2018-12-15 10:20:14,445 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：程序启动
记录时间：2018-12-15 10:25:12,478 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:12:Begin-------------

记录时间：2018-12-15 10:25:14,980 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:14:End-------------

记录时间：2018-12-15 10:25:17,980 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:17:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:25:17,980 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:17:Begin-------------

记录时间：2018-12-15 10:25:20,481 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:20:End-------------

记录时间：2018-12-15 10:25:23,481 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:23:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:25:23,482 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:23:Begin-------------

记录时间：2018-12-15 10:25:25,983 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:25:End-------------

记录时间：2018-12-15 10:25:28,984 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:28:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:25:28,984 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:28:Begin-------------

记录时间：2018-12-15 10:25:31,486 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:31:End-------------

记录时间：2018-12-15 10:25:34,486 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:34:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:25:34,486 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:34:Begin-------------

记录时间：2018-12-15 10:25:36,987 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:36:End-------------

记录时间：2018-12-15 10:25:39,987 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:39:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:25:39,987 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:39:Begin-------------

记录时间：2018-12-15 10:25:42,489 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:42:End-------------

记录时间：2018-12-15 10:25:45,490 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:45:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:25:45,490 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:45:Begin-------------

记录时间：2018-12-15 10:25:47,992 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:47:End-------------

记录时间：2018-12-15 10:25:50,992 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:50:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:25:50,992 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:50:Begin-------------

记录时间：2018-12-15 10:25:53,493 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:53:End-------------

记录时间：2018-12-15 10:25:56,493 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:56:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:25:56,493 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:56:Begin-------------

记录时间：2018-12-15 10:25:58,996 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:25:58:End-------------

记录时间：2018-12-15 10:26:01,997 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:01:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:26:01,997 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:01:Begin-------------

记录时间：2018-12-15 10:26:04,499 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:04:End-------------

记录时间：2018-12-15 10:26:07,499 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:07:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:26:07,499 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:07:Begin-------------

记录时间：2018-12-15 10:26:10,000 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:10:End-------------

记录时间：2018-12-15 10:26:13,000 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:13:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:26:13,000 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:13:Begin-------------

记录时间：2018-12-15 10:26:15,502 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:15:End-------------

记录时间：2018-12-15 10:26:18,502 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:18:Begin-------------

记录时间：2018-12-15 10:26:18,502 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:18:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:26:21,005 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:21:End-------------

记录时间：2018-12-15 10:26:24,005 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:24:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:26:24,005 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:24:Begin-------------

记录时间：2018-12-15 10:26:26,506 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:26:End-------------

记录时间：2018-12-15 10:26:29,506 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:29:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:26:29,506 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:29:Begin-------------

记录时间：2018-12-15 10:26:32,008 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:32:End-------------

记录时间：2018-12-15 10:26:35,008 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:35:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:26:35,008 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:35:Begin-------------

记录时间：2018-12-15 10:26:37,511 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:37:End-------------

记录时间：2018-12-15 10:26:40,511 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:40:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:26:40,511 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:40:Begin-------------

记录时间：2018-12-15 10:26:43,012 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:43:End-------------

记录时间：2018-12-15 10:26:46,012 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:46:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:26:46,012 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:46:Begin-------------

记录时间：2018-12-15 10:26:48,514 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:48:End-------------

记录时间：2018-12-15 10:26:51,514 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:51:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:26:51,514 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:51:Begin-------------

记录时间：2018-12-15 10:26:54,016 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:54:End-------------

记录时间：2018-12-15 10:26:57,017 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:57:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:26:57,017 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:57:Begin-------------

记录时间：2018-12-15 10:26:59,518 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:26:59:End-------------

记录时间：2018-12-15 10:27:02,518 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:02:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:27:02,518 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:02:Begin-------------

记录时间：2018-12-15 10:27:05,020 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:05:End-------------

记录时间：2018-12-15 10:27:08,020 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:08:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:27:08,020 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:08:Begin-------------

记录时间：2018-12-15 10:27:10,522 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:10:End-------------

记录时间：2018-12-15 10:27:13,523 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:13:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:27:13,523 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:13:Begin-------------

记录时间：2018-12-15 10:27:16,024 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:16:End-------------

记录时间：2018-12-15 10:27:19,024 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:19:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:27:19,024 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:19:Begin-------------

记录时间：2018-12-15 10:27:21,526 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:21:End-------------

